,Respondent,PlatformDesireNextYear,PlatformWorkedWith
3046,1240,Google Cloud Platform,
3054,1240,iOS,
3062,1240,MacOS,
3070,1240,Slack Apps and Integrations,
3078,1246,Android,AWS
3079,1246,,Docker
3080,1246,,Linux
3081,1246,,MacOS
3082,1246,,Raspberry Pi
3083,1246,,Slack Apps and Integrations
3084,1246,Arduino,
3090,1246,AWS,
3096,1246,Docker,
3102,1246,iOS,
3108,1246,Linux,
3114,1246,MacOS,
3120,1246,Microsoft Azure,
3126,1246,Raspberry Pi,
3132,1246,Slack Apps and Integrations,
3138,1249,AWS,Docker
3139,1249,,Linux
3140,1249,,Microsoft Azure
3141,1249,,Windows
3142,1249,Docker,
3146,1249,Google Cloud Platform,
3150,1249,Kubernetes,
3154,1249,Linux,
3158,1249,Microsoft Azure,
3162,1249,Windows,
3166,1251,Heroku,Heroku
3167,1251,,Linux
3168,1251,,Raspberry Pi
3169,1251,,WordPress
3170,1251,Linux,
3174,1251,Raspberry Pi,
3178,1251,WordPress,
3182,1267,Docker,AWS
3183,1267,,Docker
3184,1267,,Kubernetes
3185,1267,,Linux
3186,1267,,Microsoft Azure
3187,1267,,Windows
3188,1267,Kubernetes,
3194,1267,Linux,
3200,1267,Microsoft Azure,
3206,1267,Windows,
3212,1268,AWS,AWS
3213,1268,,Docker
3214,1268,,Linux
3215,1268,,MacOS
3216,1268,,Slack Apps and Integrations
3217,1268,Docker,
3222,1268,Google Cloud Platform,
3227,1268,iOS,
3232,1268,Linux,
3237,1268,MacOS,
3242,1268,Microsoft Azure,
3247,1268,Raspberry Pi,
3252,1284,Docker,Windows
3253,1284,Raspberry Pi,
3254,1284,Windows,
3255,1287,AWS,Windows
3256,1287,Docker,
3257,1287,Microsoft Azure,
3258,1287,Windows,
3259,1295,Docker,Docker
3260,1295,,IBM Cloud or Watson
3261,1295,,Kubernetes
3262,1295,,Linux
3263,1295,,MacOS
3264,1295,,Windows
3265,1295,,WordPress
3266,1295,Kubernetes,
3273,1295,Linux,
3280,1295,Windows,
