,Respondent,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith
2618,1268,Github,
2623,1268,Slack,
2628,1268,"Google Suite (Docs, Meet, etc)",
2633,1284,Confluence,Confluence
2634,1284,,Github
2635,1284,,Jira
2636,1284,,Slack
2637,1284,Jira,
2641,1284,Github,
2645,1284,Slack,
2649,1287,Confluence,Confluence
2650,1287,,Github
2651,1287,,Jira
2652,1287,,Microsoft Teams
2653,1287,Jira,
2657,1287,Github,
2661,1287,Microsoft Teams,
2665,1295,Github,Github
2666,1295,,"Google Suite (Docs, Meet, etc)"
2667,1295,,Slack
2668,1295,Slack,
2671,1295,"Google Suite (Docs, Meet, etc)",
2674,1296,Github,Github
2675,1296,,Microsoft Azure
2676,1296,,Trello
2677,1296,Microsoft Azure,
2680,1296,Trello,
2683,1312,Confluence,Confluence
2684,1312,,Github
2685,1312,,Gitlab
2686,1312,,"Google Suite (Docs, Meet, etc)"
2687,1312,,Jira
2688,1312,,Slack
2689,1312,,Trello
2690,1312,Jira,
2697,1312,Slack,
2704,1314,Github,Confluence
2705,1314,,Github
2706,1314,,Gitlab
2707,1314,,"Google Suite (Docs, Meet, etc)"
2708,1314,,Jira
2709,1314,,Microsoft Azure
2710,1314,,Slack
2711,1314,,Trello
2712,1314,Gitlab,
2720,1314,Slack,
2728,1314,Microsoft Azure,
2736,1314,"Google Suite (Docs, Meet, etc)",
2744,1314,Stack Overflow for Teams,
2752,1315,Github,Confluence
2753,1315,,Github
2754,1315,,"Google Suite (Docs, Meet, etc)"
2755,1315,,Jira
2756,1315,,Slack
2757,1315,Slack,
2762,1315,"Google Suite (Docs, Meet, etc)",
2767,1330,Confluence,Github
2768,1330,,"Google Suite (Docs, Meet, etc)"
2769,1330,,Microsoft Teams
2770,1330,Jira,
2773,1330,Github,
2776,1330,Gitlab,
2779,1330,Slack,
2782,1330,"Google Suite (Docs, Meet, etc)",
2785,1342,Github,Github
2786,1342,,Slack
2787,1342,Slack,
2789,1343,Confluence,Confluence
2790,1343,,Github
2791,1343,,Jira
2792,1343,,Slack
2793,1343,,Trello
2794,1343,Jira,
2799,1343,Github,
2804,1343,Slack,
2809,1343,Stack Overflow for Teams,
2814,1345,Jira,Github
2815,1345,,Jira
2816,1345,,Microsoft Azure
2817,1345,,Microsoft Teams
2818,1345,Github,
2822,1345,Gitlab,
2826,1345,Microsoft Teams,
2830,1345,Microsoft Azure,
2834,1354,Gitlab,Confluence
2835,1354,,Github
2836,1354,,Gitlab
2837,1354,,"Google Suite (Docs, Meet, etc)"
2838,1354,,Jira
2839,1354,,Slack
2840,1354,,Trello
2841,1354,Slack,
2848,1354,Microsoft Azure,
2855,1354,Trello,
2862,1354,"Google Suite (Docs, Meet, etc)",
2869,1355,Github,Facebook Workplace
2870,1355,,Github
2871,1355,,Gitlab
2872,1355,,"Google Suite (Docs, Meet, etc)"
2873,1355,Gitlab,
2877,1355,Facebook Workplace,
2881,1355,"Google Suite (Docs, Meet, etc)",
2885,1365,Confluence,Confluence
2886,1365,,Github
2887,1365,,"Google Suite (Docs, Meet, etc)"
2888,1365,,Jira
2889,1365,,Slack
2890,1365,Jira,
2895,1365,Github,
2900,1365,Slack,
2905,1365,"Google Suite (Docs, Meet, etc)",
2910,1373,Microsoft Teams,Github
2911,1373,,Gitlab
2912,1373,,Jira
2913,1373,,Microsoft Azure
2914,1373,,Microsoft Teams
2915,1373,,Slack
2916,1373,Microsoft Azure,
2922,1381,Jira,Github
2923,1381,,"Google Suite (Docs, Meet, etc)"
2924,1381,,Jira
2925,1381,,Trello
2926,1381,Github,
2930,1381,"Google Suite (Docs, Meet, etc)",
2934,1389,Github,Github
2935,1389,,"Google Suite (Docs, Meet, etc)"
2936,1389,,Jira
2937,1389,,Slack
2938,1389,Slack,
2942,1389,"Google Suite (Docs, Meet, etc)",
2946,1389,Stack Overflow for Teams,
2950,1404,Jira,Github
2951,1404,,"Google Suite (Docs, Meet, etc)"
2952,1404,,Jira
2953,1404,,Microsoft Azure
2954,1404,Github,
2958,1404,Microsoft Azure,
2962,1404,"Google Suite (Docs, Meet, etc)",
2966,1412,Github,Github
2967,1416,Github,Github
2968,1416,,"Google Suite (Docs, Meet, etc)"
2969,1416,,Microsoft Azure
2970,1416,,Slack
2971,1416,Slack,
2975,1416,Microsoft Azure,
2979,1416,"Google Suite (Docs, Meet, etc)",
2983,1417,Github,Confluence
2984,1417,,Github
2985,1417,,"Google Suite (Docs, Meet, etc)"
2986,1417,,Jira
2987,1421,Confluence,Github
2988,1421,,Jira
2989,1421,,Trello
2990,1421,Jira,
2993,1421,Github,
2996,1421,Gitlab,
2999,1421,"Google Suite (Docs, Meet, etc)",
3002,1421,Stack Overflow for Teams,
3005,1454,Github,Github
3006,1454,,Microsoft Teams
3007,1454,Microsoft Teams,
3009,1464,Confluence,Confluence
3010,1464,,Github
3011,1464,,Jira
3012,1464,,Microsoft Azure
3013,1464,,Microsoft Teams
3014,1464,,Slack
3015,1464,Jira,
3021,1464,Github,
3027,1464,Slack,
3033,1464,Microsoft Teams,
3039,1464,Microsoft Azure,
3045,1467,Confluence,Confluence
3046,1467,,Github
3047,1467,,"Google Suite (Docs, Meet, etc)"
3048,1467,,Jira
3049,1467,,Slack
3050,1467,Jira,
3055,1467,Github,
3060,1467,Gitlab,
3065,1467,Slack,
3070,1467,"Google Suite (Docs, Meet, etc)",
3075,1476,Gitlab,Confluence
3076,1476,,Github
3077,1476,,Jira
3078,1476,,Microsoft Teams
3079,1476,,Trello
3080,1488,Github,Confluence
3081,1488,,Facebook Workplace
3082,1488,,Github
3083,1488,,"Google Suite (Docs, Meet, etc)"
3084,1488,,Jira
3085,1488,,Microsoft Teams
3086,1488,,Slack
3087,1488,,Trello
3088,1488,Slack,
3096,1488,Trello,
3104,1488,"Google Suite (Docs, Meet, etc)",
3112,1512,Jira,Github
3113,1512,,Jira
3114,1512,Github,
3116,1512,Microsoft Azure,
3118,1534,Github,Github
3119,1551,Github,Github
3120,1551,,Jira
3121,1551,,Slack
3122,1551,,Trello
3123,1551,Slack,
3127,1551,Trello,
3131,1556,Confluence,Confluence
3132,1556,,Github
3133,1556,,Gitlab
3134,1556,,Jira
3135,1556,Jira,
3139,1556,Github,
3143,1556,Gitlab,
3147,1560,Github,Github
3148,1560,,"Google Suite (Docs, Meet, etc)"
3149,1560,,Jira
3150,1560,,Slack
3151,1560,,Trello
3152,1560,Slack,
3157,1560,Trello,
3162,1560,"Google Suite (Docs, Meet, etc)",
3167,1564,Confluence,Confluence
3168,1564,,Github
3169,1564,,Jira
3170,1564,,Slack
3171,1564,,Stack Overflow for Teams
3172,1564,Jira,
3177,1564,Github,
3182,1564,Slack,
3187,1564,Stack Overflow for Teams,
3192,1566,Jira,Github
3193,1566,,"Google Suite (Docs, Meet, etc)"
3194,1566,,Jira
3195,1566,,Trello
3196,1566,Trello,
3200,1580,Confluence,Confluence
3201,1580,,Github
3202,1580,,Jira
3203,1580,,Slack
3204,1580,Jira,
3208,1580,Github,
3212,1600,Confluence,Github
3213,1600,,Microsoft Azure
3214,1600,,Microsoft Teams
3215,1600,,Trello
3216,1600,Jira,
3220,1600,Github,
3224,1600,Microsoft Teams,
3228,1600,Microsoft Azure,
3232,1600,Trello,
3236,1605,Confluence,Confluence
3237,1605,,Gitlab
3238,1605,,"Google Suite (Docs, Meet, etc)"
3239,1605,,Jira
3240,1605,,Slack
3241,1605,Jira,
3246,1605,Gitlab,
3251,1605,Slack,
3256,1605,"Google Suite (Docs, Meet, etc)",
3261,1612,Jira,Github
3262,1612,,"Google Suite (Docs, Meet, etc)"
3263,1612,,Jira
3264,1612,,Slack
3265,1612,Github,
3269,1612,Slack,
3273,1612,"Google Suite (Docs, Meet, etc)",
3277,1612,Stack Overflow for Teams,
3281,1631,Github,Github
3282,1631,,Gitlab
3283,1639,Github,Github
3284,1639,,"Google Suite (Docs, Meet, etc)"
3285,1639,"Google Suite (Docs, Meet, etc)",
3287,1644,Github,Github
3288,1644,,"Google Suite (Docs, Meet, etc)"
3289,1644,,Jira
3290,1644,Slack,
3293,1644,"Google Suite (Docs, Meet, etc)",
3296,1646,Jira,Github
3297,1646,,Jira
3298,1646,,Microsoft Azure
3299,1646,,Microsoft Teams
3300,1646,Github,
3304,1646,Microsoft Teams,
3308,1646,Microsoft Azure,
3312,1647,Jira,Facebook Workplace
3313,1647,,Github
3314,1647,,"Google Suite (Docs, Meet, etc)"
3315,1647,,Jira
3316,1647,,Slack
3317,1647,Github,
3322,1647,Slack,
3327,1647,"Google Suite (Docs, Meet, etc)",
3332,1652,Stack Overflow for Teams,Confluence
3333,1652,,Github
3334,1652,,Gitlab
3335,1652,,"Google Suite (Docs, Meet, etc)"
3336,1652,,Jira
3337,1652,,Microsoft Azure
3338,1652,,Microsoft Teams
3339,1652,,Slack
3340,1652,,Trello
3341,1669,Confluence,Github
3342,1669,,Gitlab
3343,1669,,Jira
3344,1669,,Slack
3345,1669,,Trello
3346,1669,Jira,
3351,1669,Github,
3356,1669,Gitlab,
3361,1669,Trello,
3366,1681,Github,Github
3367,1681,,Gitlab
3368,1681,,Slack
3369,1717,Microsoft Teams,Microsoft Teams
3370,1725,Confluence,Confluence
3371,1725,,Github
3372,1725,,Gitlab
3373,1725,,"Google Suite (Docs, Meet, etc)"
3374,1725,,Jira
3375,1725,,Slack
3376,1725,,Trello
3377,1725,Jira,
3384,1725,Github,
3391,1725,Gitlab,
3398,1725,Slack,
3405,1725,Trello,
3412,1725,"Google Suite (Docs, Meet, etc)",
3419,1732,Confluence,Confluence
3420,1732,,Github
3421,1732,,Gitlab
3422,1732,,"Google Suite (Docs, Meet, etc)"
3423,1732,,Jira
3424,1732,,Microsoft Azure
3425,1732,,Slack
3426,1732,Jira,
3433,1732,Github,
3440,1732,Gitlab,
3447,1732,Slack,
3454,1732,"Google Suite (Docs, Meet, etc)",
3461,1745,Microsoft Teams,Microsoft Azure
3462,1745,,Microsoft Teams
3463,1745,Microsoft Azure,
3465,1759,Confluence,Confluence
3466,1759,,Github
3467,1759,,"Google Suite (Docs, Meet, etc)"
3468,1759,,Jira
3469,1759,,Slack
3470,1759,,Trello
3471,1759,Jira,
3477,1759,Github,
3483,1759,Slack,
3489,1759,Trello,
3495,1759,"Google Suite (Docs, Meet, etc)",
3501,1779,Github,Confluence
3502,1779,,Github
3503,1779,,"Google Suite (Docs, Meet, etc)"
3504,1779,,Jira
3505,1779,,Microsoft Teams
3506,1779,,Slack
3507,1779,Microsoft Teams,
3513,1796,Microsoft Teams,Microsoft Teams
3514,1796,Microsoft Azure,
3515,1801,Github,Github
3516,1801,,Gitlab
3517,1801,,"Google Suite (Docs, Meet, etc)"
3518,1801,,Jira
3519,1801,,Microsoft Teams
3520,1801,,Slack
3521,1801,Gitlab,
3527,1801,Slack,
3533,1801,"Google Suite (Docs, Meet, etc)",
3539,1808,Microsoft Teams,Jira
3540,1808,,Microsoft Azure
3541,1808,,Microsoft Teams
3542,1808,,Slack
3543,1808,,Trello
3544,1808,Microsoft Azure,
3549,1808,Stack Overflow for Teams,
3554,1814,Confluence,Github
3555,1814,,Microsoft Teams
3556,1814,Github,
3558,1814,Slack,
3560,1814,Microsoft Teams,
3562,1814,Microsoft Azure,
3564,1814,Trello,
3566,1820,Confluence,Github
3567,1820,,"Google Suite (Docs, Meet, etc)"
3568,1820,,Jira
3569,1820,,Slack
3570,1820,Jira,
3574,1820,Github,
3578,1820,Slack,
3582,1820,"Google Suite (Docs, Meet, etc)",
3586,1826,Github,Github
3587,1826,,Microsoft Azure
3588,1826,,Microsoft Teams
3589,1826,Gitlab,
3592,1826,Slack,
3595,1826,Microsoft Teams,
3598,1826,Microsoft Azure,
3601,1829,Github,Github
3602,1829,,Gitlab
3603,1829,,"Google Suite (Docs, Meet, etc)"
3604,1829,,Jira
3605,1829,,Slack
3606,1829,Gitlab,
3611,1829,Slack,
3616,1829,"Google Suite (Docs, Meet, etc)",
3621,1833,Confluence,Confluence
3622,1833,,Github
3623,1833,,"Google Suite (Docs, Meet, etc)"
3624,1833,,Jira
3625,1833,,Microsoft Teams
3626,1833,,Slack
3627,1833,,Trello
3628,1833,Jira,
3635,1833,Github,
3642,1833,Slack,
3649,1833,Trello,
3656,1833,"Google Suite (Docs, Meet, etc)",
3663,1845,Slack,Microsoft Azure
3664,1845,,Microsoft Teams
3665,1845,,Slack
3666,1845,Microsoft Teams,
3669,1845,Microsoft Azure,
3672,1857,Jira,Confluence
3673,1857,,Jira
3674,1857,,Microsoft Teams
3675,1857,Microsoft Teams,
3678,1857,Microsoft Azure,
3681,1866,Jira,Github
3682,1866,,Gitlab
3683,1866,,Jira
3684,1866,,Slack
3685,1866,Github,
3689,1866,Gitlab,
3693,1866,Slack,
3697,1890,Github,Github
3698,1890,,Gitlab
3699,1908,Github,Github
3700,1908,,"Google Suite (Docs, Meet, etc)"
3701,1908,,Microsoft Azure
3702,1908,Slack,
3705,1908,Microsoft Teams,
3708,1908,Microsoft Azure,
3711,1908,Trello,
3714,1945,Jira,Jira
3715,1945,,Slack
3716,1945,,Trello
3717,1966,Github,Github
3718,1966,,Gitlab
3719,1966,,"Google Suite (Docs, Meet, etc)"
3720,1966,,Slack
3721,1966,,Trello
3722,1966,Gitlab,
3727,1966,Slack,
3732,1971,Github,Github
3733,1971,,Gitlab
3734,1971,,"Google Suite (Docs, Meet, etc)"
3735,1971,,Slack
3736,1976,Jira,Github
3737,1976,,Gitlab
3738,1976,,"Google Suite (Docs, Meet, etc)"
3739,1976,,Slack
3740,1976,Github,
3744,1976,Slack,
3748,1976,Microsoft Azure,
3752,1977,Jira,Confluence
3753,1977,,Github
3754,1977,,Gitlab
3755,1977,,Jira
3756,1977,,Slack
3757,1977,Github,
3762,1983,Confluence,Confluence
3763,1983,,Github
3764,1983,,Gitlab
3765,1983,,Jira
3766,1983,,Slack
3767,1983,Jira,
3772,1983,Github,
3777,1983,Gitlab,
3782,1983,Slack,
3787,1984,Gitlab,Confluence
3788,1984,,Github
3789,1984,,Gitlab
3790,1984,,"Google Suite (Docs, Meet, etc)"
3791,1984,,Jira
3792,1984,,Slack
3793,1984,,Trello
3794,1984,Slack,
3801,1984,Stack Overflow for Teams,
3808,1990,Confluence,Confluence
3809,1990,,Github
3810,1990,,Gitlab
3811,1990,,Jira
3812,1990,,Microsoft Azure
3813,1990,,Microsoft Teams
3814,1990,,Slack
3815,1990,Jira,
3822,1990,Github,
3829,1990,Microsoft Teams,
3836,1990,Microsoft Azure,
3843,1994,Jira,Microsoft Azure
3844,1994,,Slack
3845,1994,Github,
3847,1994,Slack,
3849,1994,Microsoft Azure,
3851,2001,Jira,"Google Suite (Docs, Meet, etc)"
3852,2001,,Jira
3853,2001,,Slack
3854,2001,Github,
3857,2001,Slack,
3860,2001,"Google Suite (Docs, Meet, etc)",
3863,2003,Confluence,Confluence
3864,2003,,Github
3865,2003,,Jira
3866,2003,,Slack
3867,2003,,Trello
3868,2003,Jira,
3873,2003,Github,
3878,2007,Confluence,Confluence
3879,2007,,Github
3880,2007,,Gitlab
3881,2007,,"Google Suite (Docs, Meet, etc)"
3882,2007,,Jira
3883,2007,,Microsoft Teams
3884,2007,,Slack
3885,2007,Jira,
3892,2007,Github,
3899,2007,Gitlab,
3906,2007,Slack,
3913,2007,"Google Suite (Docs, Meet, etc)",
3920,2007,Stack Overflow for Teams,
3927,2008,Confluence,Confluence
3928,2008,,Github
3929,2008,,Jira
3930,2008,,Microsoft Azure
3931,2008,,Microsoft Teams
3932,2008,Jira,
3937,2008,Github,
3942,2008,Microsoft Teams,
3947,2008,Microsoft Azure,
3952,2013,Github,Confluence
3953,2013,,Github
3954,2013,,Gitlab
3955,2013,,"Google Suite (Docs, Meet, etc)"
3956,2013,,Microsoft Azure
3957,2013,,Slack
3958,2013,,Trello
3959,2013,Microsoft Teams,
3966,2013,Microsoft Azure,
3973,2017,Confluence,Confluence
3974,2017,,Github
3975,2017,,Jira
3976,2017,,Microsoft Teams
3977,2017,,Slack
3978,2017,Jira,
3983,2017,Github,
3988,2017,Slack,
3993,2017,Microsoft Teams,
3998,2031,Github,Github
3999,2051,Stack Overflow for Teams,Confluence
4000,2051,,Github
4001,2051,,Gitlab
4002,2051,,Jira
4003,2051,,Slack
4004,2059,Confluence,Confluence
4005,2059,,Github
4006,2059,,"Google Suite (Docs, Meet, etc)"
4007,2059,,Jira
4008,2059,,Microsoft Azure
4009,2059,,Slack
4010,2059,Jira,
4016,2059,Github,
4022,2059,Slack,
4028,2059,"Google Suite (Docs, Meet, etc)",
4034,2070,Github,Github
4035,2070,,"Google Suite (Docs, Meet, etc)"
4036,2070,,Slack
4037,2070,Slack,
4040,2070,"Google Suite (Docs, Meet, etc)",
4043,2088,Confluence,Confluence
4044,2088,,"Google Suite (Docs, Meet, etc)"
4045,2088,,Jira
4046,2088,,Slack
4047,2088,,Trello
4048,2088,Jira,
4053,2088,Slack,
4058,2088,Trello,
4063,2088,"Google Suite (Docs, Meet, etc)",
4068,2088,Stack Overflow for Teams,
4073,2094,Confluence,Confluence
4074,2094,,Gitlab
4075,2094,,Jira
4076,2094,,Slack
4077,2094,Jira,
4081,2094,Gitlab,
4085,2094,Slack,
4089,2098,Jira,Github
4090,2098,,"Google Suite (Docs, Meet, etc)"
4091,2098,,Jira
4092,2098,,Slack
4093,2098,Github,
4097,2098,Slack,
4101,2098,"Google Suite (Docs, Meet, etc)",
4105,2101,Confluence,Confluence
4106,2101,,Jira
4107,2101,,Microsoft Teams
4108,2101,Jira,
4111,2101,Microsoft Teams,
4114,2101,Microsoft Azure,
4117,2107,Confluence,Confluence
4118,2107,,Github
4119,2107,,"Google Suite (Docs, Meet, etc)"
4120,2107,,Jira
4121,2107,,Slack
4122,2107,Jira,
4127,2107,Github,
4132,2107,Slack,
4137,2107,"Google Suite (Docs, Meet, etc)",
4142,2110,Jira,Github
4143,2110,,Gitlab
4144,2110,,Jira
4145,2110,,Slack
4146,2110,Github,
4150,2110,Gitlab,
4154,2110,Slack,
4158,2110,Microsoft Teams,
4162,2110,Microsoft Azure,
4166,2110,Stack Overflow for Teams,
4170,2136,Jira,Github
4171,2136,,"Google Suite (Docs, Meet, etc)"
4172,2136,,Jira
4173,2136,,Slack
4174,2136,Github,
4178,2136,Slack,
4182,2136,"Google Suite (Docs, Meet, etc)",
4186,2138,Microsoft Azure,Microsoft Azure
4187,2145,Jira,Github
4188,2145,,Jira
4189,2145,,Microsoft Azure
4190,2145,,Microsoft Teams
4191,2145,Github,
4195,2145,Microsoft Teams,
4199,2145,Microsoft Azure,
4203,2147,Gitlab,Gitlab
4204,2147,,"Google Suite (Docs, Meet, etc)"
4205,2147,,Microsoft Azure
4206,2147,,Microsoft Teams
4207,2147,Microsoft Teams,
4211,2147,Microsoft Azure,
4215,2147,"Google Suite (Docs, Meet, etc)",
4219,2150,Jira,Confluence
4220,2150,,Github
4221,2150,,Jira
4222,2150,,Microsoft Azure
4223,2150,Github,
4227,2150,Microsoft Teams,
4231,2150,Microsoft Azure,
4235,2164,Confluence,Confluence
4236,2164,,Github
4237,2164,,Gitlab
4238,2164,,Jira
4239,2164,Jira,
4243,2164,Github,
4247,2164,Gitlab,
4251,2170,Github,Github
4252,2170,,Gitlab
4253,2170,,Jira
4254,2170,,Stack Overflow for Teams
4255,2182,Github,Github
4256,2182,,"Google Suite (Docs, Meet, etc)"
4257,2182,Gitlab,
4259,2183,Microsoft Teams,Microsoft Teams
4260,2188,Github,Github
4261,2205,Github,Github
4262,2205,,Gitlab
4263,2205,,"Google Suite (Docs, Meet, etc)"
4264,2205,,Jira
4265,2205,,Microsoft Azure
4266,2205,,Microsoft Teams
4267,2205,,Slack
4268,2205,,Trello
4269,2205,Microsoft Teams,
4277,2205,Microsoft Azure,
4285,2205,Trello,
4293,2210,Github,Github
4294,2210,,Jira
4295,2210,,Slack
4296,2210,,Trello
4297,2210,Slack,
4301,2235,Github,Confluence
4302,2235,,Github
4303,2235,,"Google Suite (Docs, Meet, etc)"
4304,2235,,Jira
4305,2235,,Slack
4306,2235,Slack,
4311,2244,Confluence,"Google Suite (Docs, Meet, etc)"
4312,2244,,Microsoft Azure
4313,2244,,Slack
4314,2244,Slack,
4317,2244,Microsoft Azure,
4320,2244,"Google Suite (Docs, Meet, etc)",
4323,2246,Jira,Github
4324,2246,,"Google Suite (Docs, Meet, etc)"
4325,2246,,Jira
4326,2246,,Slack
4327,2246,Github,
4331,2246,Slack,
4335,2246,"Google Suite (Docs, Meet, etc)",
4339,2261,Github,Confluence
4340,2261,,Github
4341,2261,,Gitlab
4342,2261,,"Google Suite (Docs, Meet, etc)"
4343,2261,,Jira
4344,2261,,Slack
4345,2261,Slack,
4351,2261,"Google Suite (Docs, Meet, etc)",
4357,2265,Slack,"Google Suite (Docs, Meet, etc)"
4358,2265,,Jira
4359,2265,,Slack
4360,2265,,Trello
4361,2278,Confluence,Confluence
4362,2278,,Github
4363,2278,,"Google Suite (Docs, Meet, etc)"
4364,2278,,Jira
4365,2278,,Slack
4366,2278,Jira,
4371,2278,Github,
4376,2278,Slack,
4381,2278,"Google Suite (Docs, Meet, etc)",
4386,2289,Confluence,Confluence
4387,2289,,Github
4388,2289,,"Google Suite (Docs, Meet, etc)"
4389,2289,,Jira
4390,2289,,Slack
4391,2289,,Trello
4392,2289,Jira,
4398,2289,Github,
4404,2289,Slack,
4410,2289,"Google Suite (Docs, Meet, etc)",
4416,2289,Stack Overflow for Teams,
4422,2293,Confluence,Confluence
4423,2293,,Github
4424,2293,,Jira
4425,2293,,Microsoft Teams
4426,2293,,Slack
4427,2293,Jira,
4432,2293,Gitlab,
4437,2293,Microsoft Teams,
4442,2293,Microsoft Azure,
4447,2294,Github,Confluence
4448,2294,,Github
4449,2294,,"Google Suite (Docs, Meet, etc)"
4450,2294,,Jira
4451,2294,,Microsoft Teams
4452,2294,"Google Suite (Docs, Meet, etc)",
4457,2295,Confluence,Confluence
4458,2295,,Github
4459,2295,,Gitlab
4460,2295,,"Google Suite (Docs, Meet, etc)"
4461,2295,,Jira
4462,2295,,Slack
4463,2295,Jira,
4469,2295,Slack,
4475,2295,Trello,
4481,2295,"Google Suite (Docs, Meet, etc)",
4487,2298,Github,Confluence
4488,2298,,Github
4489,2298,,Gitlab
4490,2298,,"Google Suite (Docs, Meet, etc)"
4491,2298,,Jira
4492,2298,,Slack
4493,2298,Gitlab,
4499,2298,Slack,
4505,2298,"Google Suite (Docs, Meet, etc)",
4511,2308,Jira,Github
4512,2308,,Gitlab
4513,2308,,Jira
4514,2308,,Slack
4515,2308,,Trello
4516,2308,Github,
4521,2308,Gitlab,
4526,2308,Slack,
4531,2320,Github,Confluence
4532,2320,,Github
4533,2320,,Gitlab
4534,2320,,Jira
4535,2320,,Microsoft Teams
4536,2320,,Slack
4537,2320,Gitlab,
4543,2320,Slack,
4549,2347,Github,Github
4550,2347,,Slack
4551,2347,Slack,
4553,2352,Github,Github
4554,2352,,Jira
4555,2356,Github,Github
4556,2356,,"Google Suite (Docs, Meet, etc)"
4557,2356,,Slack
4558,2356,Slack,
4561,2356,Microsoft Azure,
4564,2356,"Google Suite (Docs, Meet, etc)",
4567,2364,Github,Confluence
4568,2364,,Github
4569,2364,,Gitlab
4570,2364,,"Google Suite (Docs, Meet, etc)"
4571,2364,,Jira
4572,2364,,Slack
4573,2364,"Google Suite (Docs, Meet, etc)",
4579,2364,Stack Overflow for Teams,
4585,2373,Jira,Github
4586,2373,,Gitlab
4587,2373,,"Google Suite (Docs, Meet, etc)"
4588,2373,,Jira
4589,2373,,Microsoft Azure
4590,2373,,Slack
4591,2373,,Trello
4592,2373,Github,
4599,2373,Slack,
4606,2373,Microsoft Azure,
4613,2373,Trello,
4620,2373,"Google Suite (Docs, Meet, etc)",
4627,2380,Confluence,Confluence
4628,2380,,Jira
4629,2380,,Microsoft Azure
4630,2380,,Microsoft Teams
4631,2380,Jira,
4635,2380,Microsoft Teams,
4639,2380,Microsoft Azure,
4643,2387,Github,Github
4644,2387,,Slack
4645,2387,,Trello
4646,2391,Microsoft Teams,Confluence
4647,2391,,Jira
4648,2391,,Microsoft Azure
4649,2391,,Microsoft Teams
4650,2391,Microsoft Azure,
4654,2412,Github,Github
4655,2420,Github,Github
4656,2420,,"Google Suite (Docs, Meet, etc)"
4657,2420,,Slack
4658,2420,,Trello
4659,2420,Slack,
4663,2420,"Google Suite (Docs, Meet, etc)",
4667,2429,Github,Github
4668,2429,,"Google Suite (Docs, Meet, etc)"
4669,2429,,Slack
4670,2429,Slack,
4673,2429,"Google Suite (Docs, Meet, etc)",
4676,2445,Github,Confluence
4677,2445,,Github
4678,2445,,Gitlab
4679,2445,,Jira
4680,2445,,Microsoft Teams
4681,2445,,Slack
4682,2445,Gitlab,
4688,2445,Microsoft Teams,
4694,2460,Github,Github
4695,2460,,Microsoft Azure
4696,2460,,Microsoft Teams
4697,2460,,Slack
4698,2460,Slack,
4702,2462,Github,Github
4703,2462,,Microsoft Azure
4704,2462,,Microsoft Teams
4705,2462,Microsoft Teams,
4708,2462,Microsoft Azure,
4711,2465,Github,Github
4712,2465,,"Google Suite (Docs, Meet, etc)"
4713,2465,,Slack
